datum,Antiinflammatory,Antirheumatic,Analgesics,Antipyretics,Psycholeptics,Sedatives,Bronchodilators,Antihistamines
20-10-2019,23.298819622763567,18.725016041583114,143.09170154761762,52.06404,2.69287778,24.58649751684955,11.673377,37.292206
27-10-2019,21.277252699565977,18.847457503757155,141.1871880083613,50.109253,5.7998379,25.16313059721038,11.168873,36.798264
03-11-2019,22.094932767492008,18.097223200278677,141.26276715442702,52.495632,6.679020,25.189548249056834,9.893336,37.644627
10-11-2019,22.36932088789639,17.160744810966037,141.25976785449961,51.46551,3.0837267,25.190758537458333,10.961639,37.310112
17-11-2019,20.383894670261352,17.47379686191444,141.25988687939633,49.186222,4.115746,25.190813985157597,11.766517,37.45533
24-11-2019,19.285107055709435,18.713977445713244,141.25988215598542,52.106216,3.7937839,25.190816525417713,12.597744,36.42355
01-12-2019,22.45796911209192,15.73074419245085,141.25988234343032,52.1189,3.2453738,25.19081664179624,13.110222,36.30816
08-12-2019,23.27236584038076,18.48490619912684,141.2598823359917,52.40246,4.0277733,25.19081664712796,13.831885,36.234173
15-12-2019,22.810838057234687,17.858741098876823,141.2598823362869,52.406998,4.6889809,25.190816647372227,14.461617,36.068104
22-12-2019,23.60985172067506,18.049621615335255,141.25988233627518,52.539917,3.9999494,25.190816647383418,15.034897,35.920265
29-10-2019,24.10895638497415,18.102230186025317,141.25988233627564,53.00485,4.9809090,25.19081664738393,15.564477,35.744564
05-01-2020,19.789321102661287,20.08994490305873,141.2598823362756,53.134438,5.0289898,25.190816647383954,16.09629,35.660206
